id,filename,slide_file,line,context
c8vLVrxWIpg,01-intro-climate-change.mp4,01-slides-intro.Rmd,244,Climate change intro
9qjvwQrZmpk,01-intro-micro-applicable.mp4,01-slides-intro.Rmd,378,Is Intro to Micro applicable everywhere?
QwgximJ9vPk,01-intro-creating-markets.mp4,01-slides-intro.Rmd,391,Creating markets to solve problems
1yzmOrcLIPo,01-intro-ecological-wealth.mp4,01-slides-intro.Rmd,857,Ecological wealth
tMsDn7NXPxA,02-market-failures-colorado-river-2026.mp4,02-slides-market-failures.Rmd,343,Colorado River rules are being rewritten for 2027
b78owYAd0iw,02-market-failures-arizona-water.mp4,02-slides-market-failures.Rmd,367,Saudi farming exposed Arizona groundwater rules
YOJKThVZjcg,02-market-failures-groundwater-lawsuit-2026.mp4,02-slides-market-failures.Rmd,408,Groundwater enforcement now uses settlements as well as lawsuits
kwb6OvvxMjg,02-market-failures-env-movement-birth.mp4,02-slides-market-failures.Rmd,493,The birth of the environmental movement
JLHXYTbSQZY,02-market-failures-ezpass-damages.mp4,02-slides-market-failures.Rmd,823,Estimating marginal damages with EZ-Pass
asQZK1qzoXY,02-market-failures-measles-deaths-2026.mp4,02-slides-market-failures.Rmd,1160,News report: the first U.S. measles deaths of 2026 (first minute)
pKJiXZKIh_U,03-coase-ronald-coase.mp4,03-slides-coase.Rmd,145,Ronald Coase (1910-2013)
fe05EYFlMLk,03-coase-property-rights.mp4,03-slides-coase.Rmd,175,Property rights
fqQsExCEEZc,03-coase-data-centers-utility-bills.mp4,03-slides-coase.Rmd,63,AI data centers and residents' utility bills (ABC News)
vOXYnNbdJWA,03-coase-ashburn-buyout-offers.mp4,03-slides-coase.Rmd,1211,Reported Ashburn data center buyout proposal disputed by the HOA president (NBC4)
vl7cXmebIEY,03-coase-farmland-holdout.mp4,03-slides-coase.Rmd,1239,Sisters reject $26M offer for farmland AI data center site (CBS)
ShV7y5ZhFiY,03-coase-xai-turbines-residents.mp4,03-slides-coase.Rmd,1275,xAI Southaven power plant turbines and nearby residents (NBC News)
dlXptCSsdkQ,04-standards-coal-pollutants.mp4,04-slides-standards.Rmd,111,Coal power: air pollutants
xajjmbJrfEM,04-standards-coal-pollution-news.mp4,04-slides-standards.Rmd,201,Coal power: air pollutants (news segment)
yRcshaSK46M,04-standards-coal-future.mp4,04-slides-standards.Rmd,230,Coal going forward
pbs-3071275126,04-standards-california-ev-mandate.mp4,04-slides-standards.Rmd,1100,California EV mandate
SXAjk3lYNV0,05-taxes-emission-taxes-intro.mp4,05-slides-taxes.Rmd,64,Emission taxes intro
kiiLzsleuwU,05-taxes-emission-taxes-2.mp4,05-slides-taxes.Rmd,466,Emission taxes continued
hgurrvho_Ug,05-taxes-nyc-congestion-explained.mp4,05-slides-taxes.Rmd,470,NYC congestion pricing explained
BJrRNONO0S0,05-taxes-nyc-congestion-one-year.mp4,05-slides-taxes.Rmd,510,NYC congestion pricing one year later
O7oKpUpOGKs,05-taxes-france-yellow-vests.mp4,05-slides-taxes.Rmd,530,France Yellow Vest fuel tax protests
m5ych9oDtk0,06-permits-cap-and-trade.mp4,06-slides-permits.Rmd,1650,How do carbon markets work
MicU8h4-kNw,07-uncertainty-arctic-sea-ice.mp4,07-slides-uncertainty.Rmd,64,Learning about arctic sea ice
XnqKqxer-nw,09-carbon-tariffs-bca-explained.mp4,09-slides-carbon-tariffs.Rmd,110,Understanding border carbon adjustments
l3Mr0r1uSj4,09-carbon-tariffs-retaliation-trade-war.mp4,09-slides-carbon-tariffs.Rmd,1253,Retaliation and trade-war risk
5YwLHt3uLdo,09-carbon-tariffs-tariff-alone-practice.mp4,09-slides-carbon-tariffs.Rmd,1005,Tariff alone in practice
lIRXDDG6yB8,13-travel-cost-great-lakes-carp.mp4,13-slides-travel-cost.Rmd,132,Should we separate the Great Lakes and Mississippi?
YPAH8XUEMY4,14-cv-exxon-valdez.mp4,14-slides-contingent-valuation.Rmd,172,Exxon Valdez oil spill
Kjobz14i8kM,12-hedonics-superfund.mp4,12-slides-hedonics.Rmd,214,Superfund
